microsample,cryosection,SampleType,Xcoord,Ycoord,size,shape,Xcoord_pixel_crop,Ycoord_pixel_crop
M303064,G007bI105A,Positive,9269.44592,15557.49332,5140,Elipse,666,560
M303070,G007bI105A,Positive,8014.85048,16401.9456,4976,Elipse,497,669
M303066,G007bI105A,Positive,8627.54136,14468.28696,4976,Elipse,579,420
M303068,G007bI105A,Positive,8653.96326,15097.30604,4976,Elipse,583,501
M303069,G007bI105A,Positive,8638.9824,15649.53886,4976,Elipse,581,572
M303062,G007bI105A,Positive,9040.98362,15934.54342,5140,Elipse,635,608
M303085,G007bI105A,Positive,7903.88734,13185.92376,4976,Elipse,482,255
M303059,G007bI105A,Positive,7916.07322,15979.3246,5140,Elipse,483,614
M303103,G007bI105A,Positive,12376.6104,15565.75838,4976,Elipse,1086,561
M303083,G007bI105A,Positive,7983.3472,15715.47238,4976,Elipse,492,580
M303097,G007bI105A,Positive,6964.57784,14528.34252,5140,Elipse,355,428
M303079,G007bI105A,Positive,7077.20424,14784.0465,5140,Elipse,370,461
M303061,G007bI105A,Positive,8558.57816,16038.35594,5140,Elipse,570,622
M303090,G007bI105A,Positive,7160.03648,15273.94464,5140,Elipse,381,524
M303081,G007bI105A,Positive,7470.90372,14367.8596,5140,Elipse,423,407
M303086,G007bI105A,Positive,7146.60186,14542.64926,4976,Elipse,379,430
M303075,G007bI105A,Positive,8923.39474,15163.51702,5140,Elipse,619,509
M303100,G007bI105A,Positive,6803.6219,14899.71278,4976,Elipse,333,476
M303073,G007bI105A,Positive,7768.61188,14713.20244,4976,Elipse,463,452
M303091,G007bI105A,Positive,8074.43012,15032.98144,5140,Elipse,505,493
M303080,G007bI105A,Positive,7998.91188,14729.33102,5140,Elipse,494,454
M303084,G007bI105A,Positive,7829.35684,14364.69364,4976,Elipse,471,407
M303099,G007bI105A,Positive,7494.59056,14888.95016,4976,Elipse,426,474
M303098,G007bI105A,Positive,6913.4614,15549.95594,4976,Elipse,348,559
M303094,G007bI105A,Positive,8226.10642,14100.1429,5140,Elipse,525,373
M303087,G007bI105A,Positive,7125.20732,15085.0456,4976,Elipse,376,499
M303072,G007bI105A,Positive,7804.635,16570.64432,4976,Elipse,468,690
M303104,G007bI105A,Positive,7948.61644,14569.68606,4976,Elipse,488,433
M303067,G007bI105A,Positive,8570.46686,14736.33462,4976,Elipse,572,455
M303077,G007bI105A,Positive,8459.01368,15836.73192,5140,Elipse,557,596
M303063,G007bI105A,Positive,8410.25292,15502.32556,5140,Elipse,550,553
M303060,G007bI105A,Positive,8268.84136,16045.53102,5140,Elipse,531,623
M303095,G007bI105A,Positive,7688.17418,14028.71824,5140,Elipse,452,364
M303078,G007bI105A,Positive,8335.61824,15175.16596,5140,Elipse,540,511
M303105,G007bI105A,Positive,7725.49768,14434.79024,4976,Elipse,457,416
M303101,G007bI105A,Positive,7595.36782,14813.28568,4976,Elipse,440,464
M303076,G007bI105A,Positive,7992.1887,15448.05228,5140,Elipse,493,546
M303089,G007bI105A,Positive,6817.6851,15638.9614,4976,Elipse,335,571
M303093,G007bI105A,Positive,9140.36474,14645.86654,5140,Elipse,649,443
M303058,G007bI105A,Positive,7628.25138,16061.51188,5140,Elipse,444,625
M303082,G007bI105A,Positive,7829.63776,15098.8492,4976,Elipse,472,501
M303096,G007bI105A,Positive,7404.92408,13698.0711,5140,Elipse,414,321
